"","Bettongia","Lagorchestes","Lagostrophus","Petrogale"
"B_G10_BC004",0.999838863173517,2.62075709239024e-10,1.6553179994199e-05,0.000144583384413163
"B_F10_BC042",0.604898540924242,4.06408671672294e-05,0.247024296540359,0.148036521668232
"B_F10_BC044",0.167065884859777,0.021875824093365,0.647140617208326,0.163917673838532
"B_G10_BC142",0.833605286945428,2.8399650274024e-08,0.166382457894067,1.2226760854977e-05
"B_A10_BC170",0.999975733616583,6.26458485306933e-13,7.74184346259213e-06,1.65245393277488e-05
"B_A10_BC211",4.34102587401041e-05,0.624702476431065,0.111549236609054,0.263704876701141
"B_A10_BC212",0.00101687322358613,0.277709898073323,0.720505679014488,0.000767549688602246
"B_A10_BC224",0.00121453354375393,0.989309891979591,0.00274050731423533,0.00673506716241998
"B_A10_BC293",0.991292394004934,4.50597289452593e-05,0.00846272712373595,0.000199819142385239
"B_A10_BC294",0.66325034809377,0.0221866545908449,0.2578039759246,0.0567590213907855
