"","Variable","Large","Medium","Small"
"1","L_dlCaCu","0.032","0.041","0.034"
"2","B_dlCaCu","0.016","0.019","0.018"
"3","H_dlCaCu","0.016","0.024","0.024"
"4","B_dmCaCu","0.009","0.019","0.02"
"5","H_dmCaCu","0.013","0.021","0.029"
"6","B_CaCu","0.006","0.009","0.006"
"7","H_CaCu","0.008","0.011","0.01"
"8","L_tcd","0.004","0.007","0.007"
"9","H_tce","0.007","0.015","0.013"
"10","B_tce","0.005","0.008","0.01"
"11","L_rps","0.004","0.006","0.009"
"12","B_midshaft","0.009","0.017","0.032"
"13","H_midshaft","0.007","0.012","0.012"
"14","B_fdl_medial","0.016","0.023","0.024"
"15","B_cal","0.007","0.007","0.01"
"16","L_st","0.009","0.015","0.021"
"17","H_st","0.011","0.015","0.015"
"18","L_mCaTa","0.012","0.015","0.016"
"19","B_mCaTa","0.016","0.022","0.028"
"20","L_lCaTa","0.016","0.028","0.028"
"21","B_lCaTa","0.017","0.022","0.034"
"22","B_CLAJ","0.007","0.01","0.012"
"23","H_CaFi","0.02","0.028","0.039"
"24","B_CaFi","0.018","0.034","0.029"
