"","Variable","r.large","F.large","df1.large","df2.large","p.large","r.medium","F.medium","df1.medium","df2.medium","p.medium","r.small","F.small","df1.small","df2.small","p.small"
"1","L_dlCaCu",0.97032127561721,99.0825115428344,66,132,1.27104647429882e-87,0.959664783803427,72.3766931948378,63,126,1.96546544583779e-75,0.89274231621025,25.9700240952499,48,96,5.08538954079424e-38
"2","B_dlCaCu",0.989221893522327,276.342026608716,66,132,1.75949042132686e-116,0.968852217679742,94.3150432077109,63,126,2.00921012798382e-82,0.96211271956625,77.1822470669489,48,96,3.07847654607394e-59
"3","H_dlCaCu",0.992567525121589,401.63405851719,66,132,4.19863840522214e-127,0.975301279300263,119.463780916876,63,126,1.02968711464695e-88,0.979847401898022,146.864180430691,48,96,2.7954017321758e-72
"4","B_dmCaCu",0.995935562966171,736.109601657104,66,132,2.25518308923666e-144,0.980514198757992,151.958257232577,63,126,3.73629522828388e-95,0.961483101060666,75.8878903186145,48,96,6.72516462401986e-59
"5","H_dmCaCu",0.996385692117418,828.034434658396,66,132,9.83860376059811e-148,0.983732213390675,182.413532833065,63,126,4.59395217162117e-100,0.890784576928013,25.4686478852223,48,96,1.17397648587207e-37
"6","B_CaCu",0.998477746235846,1968.76208359147,66,132,1.68478761223528e-172,0.995456147901009,658.23275728234,63,126,7.39307768160277e-135,0.983905847841104,184.403109053601,48,96,6.10114803183392e-77
"7","H_CaCu",0.998072540866778,1554.45323332208,66,132,9.72117766432841e-166,0.99151176902603,351.430533311332,63,126,8.55364042384104e-118,0.961544519028344,76.0122865245447,48,96,6.23514563422663e-59
"8","L_tcd",0.999300351839519,4285.86948848605,66,132,8.95308051933092e-195,0.996129392609131,773.072152003125,63,126,3.06940745634006e-139,0.99400415687007,498.346645999549,48,96,1.85568247678631e-97
"9","H_tce",0.998370518168434,1839.07606595213,66,132,1.5020634133033e-170,0.98245676076266,169.006047367503,63,126,5.20234324708598e-98,0.977920311489264,133.871481997644,48,96,2.17505520450181e-70
"10","B_tce",0.998705885419799,2316.18731192497,66,132,3.75563763545976e-177,0.99204278085383,375.016134015096,63,126,1.47663095951819e-119,0.987839821837227,244.706911678654,48,96,9.29734177839298e-83
"11","L_rps",0.999402910114626,5022.3691502534,66,132,2.56726128559082e-199,0.997426179186373,1163.58230631942,63,126,2.16122301704093e-150,0.996072792461292,761.901568845315,48,96,2.89236957896994e-106
"12","B_midshaft",0.997844008790864,1389.4713507584,66,132,1.57510541575175e-162,0.986267521588298,216.460201433382,63,126,1.1192611354695e-104,0.952906525043822,61.7030926851671,48,96,9.14143805982994e-55
"13","H_midshaft",0.998596842177378,2136.0346185105,66,132,7.80760527660668e-175,0.993269797948304,443.751847709234,63,126,3.96092556873053e-124,0.970221018815466,98.7421973710109,48,96,3.32965729081293e-64
"14","B_fdl_medial",0.989362019976283,280.008425783064,66,132,7.44007026359339e-117,0.981556892065918,160.662389154933,63,126,1.19375786213532e-96,0.958938546775527,71.0612232255811,48,96,1.39395787661996e-57
"15","B_cal",0.995956201428372,739.876714891016,66,132,1.61232368453362e-144,0.995281746617307,633.828506159586,63,126,7.90315094802299e-134,0.982086621192429,165.472593095168,48,96,1.01359337005945e-74
"16","L_st",0.996949891814513,981.571669449267,66,132,1.35906576501303e-152,0.985584254840644,206.105787584139,63,126,2.35229529460563e-103,0.969008362631957,94.8003066237932,48,96,2.22021676184223e-63
"17","H_st",0.99413217819807,509.262969678659,66,132,7.27980133592376e-134,0.993768245777905,479.405378498909,63,126,3.13926066067564e-126,0.972496934947396,107.078751559583,48,96,7.58833967770619e-66
"18","L_mCaTa",0.992747652102896,411.659140813948,66,132,8.34722591988253e-128,0.984208785714384,187.979057071791,63,126,7.12619416734277e-101,0.959006226857847,71.1818461695863,48,96,1.28918402908769e-57
"19","B_mCaTa",0.988534698310966,259.659054542754,66,132,1.02496354699023e-114,0.962167951207604,77.2978465549815,63,126,3.65466662675787e-77,0.90963548782518,31.1988734050395,48,96,1.78393856496851e-41
"20","L_lCaTa",0.993891491091166,489.118216372207,66,132,1.02839919246636e-132,0.969358000259661,95.9048373285721,63,126,7.23736703219168e-83,0.890789443434044,25.469871909207,48,96,1.17156032593257e-37
"21","B_lCaTa",0.990865077501433,326.410011192812,66,132,3.30521670850966e-121,0.97464096213369,116.301018193817,63,126,5.35480856083703e-88,0.873442968813902,21.7047279940424,48,96,1.04547579065669e-34
"22","B_CLAJ",0.996505616797731,856.520610461835,66,132,1.06371645253915e-148,0.992258513713809,385.522484584287,63,126,2.62499079815381e-120,0.945232940383331,52.7774523773575,48,96,1.13780902632647e-51
"23","H_CaFi",0.985973089668655,211.874611666699,66,132,5.85038899632122e-109,0.959714822699327,72.4690777356938,63,126,1.81948383068146e-75,0.856821317701532,18.9528398490654,48,96,2.97134198057123e-32
"24","B_CaFi",0.991941378021583,370.272084239072,66,132,8.62519391923708e-125,0.959799100158907,72.6251952533017,63,126,1.59735591761495e-75,0.903457506911142,29.0743995106776,48,96,3.86435041747852e-40
